school_id,canonical_name,aliases,primary_color,secondary_color,nickname,location
ai_dupont,A.I. du Pont,"""AI, AI DuPont, A.I. Du Pont, A.I. Dupont"" ",#02499c,#ffcb2d,Tigers,Wilmington
appoquinimink,Appoquinimink,"""Appo""",#782f40,#a1a7ad,Jaguars,Middletown
brandywine,Brandywine,,#0000ff,#ffffff,Bulldogs,Brandywine Hundred
christiana,Christiana,,#2c2a6c,#a71e22,Vikings,Ogletown
concord,Concord,,#7d0000,#000000,Raiders,Brandywine Hundred
delcastle,Delcastle,"""Delcastle Vo-Tech, Delcastle vo-tech""",#2d3e5b,#828e9e,Cougars,Prices Corner
glasgow,Glasgow,,#fd0000,#fed501,Dragons,Glasgow
hodgson,Hodgson,"""Hodgson Vo-Tech""",#800000,#c0c0c0,Silver Eagles,Glasgow
howard,Howard,"""Howard Tech, Howard Vo-Tech, Howard School of Technology""",#184095,#000000,Wildcats,Wilmington
dickinson,Dickinson,"""John Dickinson, John Dickinson School""",#5a9cbe,#000000,Rams,Milltown
mckean,McKean,,#2e5c32,#1d3b6d,Highlanders,Mill Creek
middletown,Middletown,,#0033a0,#000000,Cavaliers,Middletown
mount_pleasant,Mount Pleasant,"""Mount, Mt. Pleasant, Mt Pleasant""",#008000,#000000,Green Knights,Bellevue
newark,Newark,,#eaaa00,#000000,Yellowjackets,Newark
odessa,Odessa,,#0b6241,#f6e21b,Ducks,Odessa
st_georges,St. Georges,"""St Georges, Saint Georges""",#060076,#01843e,Hawks,Middletown
william_penn,William Penn,"""WP, Penn""",#000000,#ff0000,Colonials,New Castle
padua,Padua,,#000000,#fdd500,Pandas,Wilmington
ursuline,Ursuline,"""Ursuline Academy""",#ce2033,#000000,Raiders,Wilmington
archmere,Archmere,"""Archmere Academy""",#065641,#ffffff,Auks,Claymont
charter_of_wilmington,Charter of Wilmington,"""Wilmington Charter, Charter School of Wilmington, Charter, Wilm Charter, Wilm. Charter""",#0000fe,#ffffff,Force,Wilmington
conrad,Conrad,"""Conrad Schools of Science, CSS""",#fe0000,#808080,Red Wolves,Prices Corner
dma,DMA,"""Delaware Military Academy""",#00233c,#dbb990,Seahawks,Newport
mot_charter,MOT Charter,,#ad1027,#000000,Mustangs,Middletown
newark_charter,Newark Charter,,#2a3283,#e01f29,Patriots,Newark
st_elizabeth,St. Elizabeth,"""St. E, St E, St. E's, St E's, St. Es, St Es""",#990033,#ffd700,Vikings,Wilmington
delmarva_christian,Delmarva Christian,,#47348d,#c0c0c0,Royals,Georgetown
caesar_rodney,Caesar Rodney,,#333293,#ffef02,Riders,Camden
cape_henlopen,Cape Henlopen,"""Cape""",#75b2de,#ffda00,Vikings,Lewes
dover,Dover,,#0000ff,#ffffff,Senators,Dover
early_college,Early College,"""Early College @ DSU, Early College School @ DSU, Early College School""",#da291c,#044574,Hornets,Dover
indian_river,Indian River,,#008000,#ffd700,Indians,Dagsboro
lake_forest,Lake Forest,"""Lake""",#436d9c,#000000,Spartans,Felton
laurel,Laurel,,#ff0000,#c5c7cb,Bulldogs,Laurel
milford,Milford,,#50131a,#f7b426,Buccaneers,Milford
polytech,Polytech,,#cc0033,#000000,Panthers,Woodside
seaford,Seaford,,#062a63,#ffd700,Blue Jays,Seaford
smyrna,Smyrna,,#ff0000,#ffffff,Eagles,Smyrna
sussex_central,Sussex Central,"""Central""",#1567a2,#f5c72e,Golden Knights,Georgetown
sussex_academy,Sussex Academy,"""SASS, Sussex Academy School of Science, Sussex Academy Schools of Sciences""",#061f5b,#705080,Seahawks,Georgetown
sussex_tech,Sussex Tech,,#848482,#000000,Ravens,Georgetown
woodbridge,Woodbridge,,#0000ff,#b7b6b4,Blue Raiders,Greenwood
sanford,Sanford,,#03316c,#ffbc1e,Warriors,Mill Creek
st_andrews,St. Andrew's,"""St. Andrews, St Andrew's, St Andrews""",#a51e36,#000000,Saints,Middletown
tatnall,Tatnall,"""Tatnall School, The Tatnall School""",#daa520,#000100,Hornets,Greenville
tower_hill,Tower Hill,"""Tower""",#00381e,#ffffff,Hillers,Wilmington
wilmington_friends,Wilmington Friends,"""Friends, Wilm Friends, Wilm. Friends""",#333366,#ffffff,Quakers,Alapocas
caravel,Caravel,"""Caravel Academy""",#800000,#030303,Buccaneers,Glasgow
fsma,FSMA,"""First State Military Academy""",#ff0000,#133460,Bulldogs,Clayton
freire_charter,Freire Charter,,#5ab7e7,#000000,Dragons,Wilmington
great_oaks,Great Oaks,"""Great Oaks Charter, Great Oaks Charter School""",#1599ed,#df8254,Gladiators,Wilmington
mt_sophia,Mt. Sophia Academy,"""Mt Sophia Academy, Mt Sophia, Mount Sophia Academy, Mount Sophia""",#008000,#ffffff,Grizzlies,Ogletown
odyssey_charter,Odyssey Charter,"""Odyssey Charter School""",#0e3f8e,#000000,Owls,Greenville
red_lion,Red Lion,"""Red Lion Christian, Red Lion Christian Academy""",#b20838,#010101,Lions,Red Lion
saint_marks,Saint Mark's,"""St. Marks, St. Mark's, Saint Marks, St Marks, St Mark's""",#036a38,#deb307,Spartans,Pike Creek
salesianum,Salesianum,"""Sals, Sallies""",#b0a47e,#00285c,Sals,Wilmington
wilmington_christian,Wilmington Christian,"""Wilm Christian, Wilm. Christian""",#000000,#e2383f,Warriors,Hockessin
